Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Michael Jordan\jordami01,32,CHI,109.0,1114.0,1130,0.986,82,37.7,30.4,6.6,4.3,2.2,0.5,.495,.427,.834,20.4,.317
2,David Robinson\robinda01,30,SAS,0.0,574.0,1130,0.508,82,36.8,25.0,12.2,3.0,1.4,3.3,.516,.333,.761,18.3,.290
3,Anfernee Hardaway\hardaan01,24,ORL,2.0,360.0,1130,0.319,82,36.8,21.7,4.3,7.1,2.0,0.5,.513,.314,.767,14.4,.229
4,Hakeem Olajuwon\olajuha01,33,HOU,1.0,238.0,1130,0.211,72,38.8,26.9,10.9,3.6,1.6,2.9,.514,.214,.724,9.7,.166
5,Scottie Pippen\pippesc01,30,CHI,0.0,226.0,1130,0.200,77,36.7,19.4,6.4,5.9,1.7,0.7,.463,.374,.679,12.3,.209
6,Gary Payton\paytoga01,27,SEA,0.0,98.0,1130,0.087,81,39.0,19.3,4.2,7.5,2.9,0.2,.484,.328,.748,11.5,.174
7,Karl Malone\malonka01,32,UTA,1.0,85.0,1130,0.075,82,38.0,25.7,9.8,4.2,1.7,0.7,.519,.400,.723,15.1,.233
8,Shawn Kemp\kempsh01,26,SEA,0.0,73.0,1130,0.065,79,33.3,19.6,11.4,2.2,1.2,1.6,.561,.417,.742,11.2,.205
9T,Grant Hill\hillgr01,23,DET,0.0,63.0,1130,0.056,80,40.8,20.2,9.8,6.9,1.3,0.6,.462,.192,.751,11.7,.172
9T,Shaquille O'Neal\onealsh01,23,ORL,0.0,63.0,1130,0.056,54,36.0,26.6,11.0,2.9,0.6,2.1,.573,.500,.487,6.9,.171
11,John Stockton\stockjo01,33,UTA,0.0,12.0,1130,0.011,82,35.5,14.7,2.8,11.2,1.7,0.2,.538,.422,.830,13.0,.214
12T,Charles Barkley\barklch01,32,PHO,0.0,8.0,1130,0.007,71,37.1,23.2,11.6,3.7,1.6,0.8,.500,.280,.777,10.5,.191
12T,Magic Johnson\johnsma02,36,LAL,0.0,8.0,1130,0.007,32,29.9,14.6,5.7,6.9,0.8,0.4,.466,.379,.856,3.6,.181
14,Alonzo Mourning\mournal01,25,MIA,0.0,6.0,1130,0.005,70,38.2,23.2,10.4,2.3,1.0,2.7,.523,.300,.685,9.9,.178
15,Dennis Rodman\rodmade01,34,CHI,0.0,4.0,1130,0.004,64,32.6,5.5,14.9,2.5,0.6,0.4,.480,.111,.528,6.2,.143
16T,Terrell Brandon\brandte01,25,CLE,0.0,3.0,1130,0.003,75,34.3,19.3,3.3,6.5,1.8,0.4,.465,.387,.887,12.7,.237
16T,Mitch Richmond\richmmi01,30,SAC,0.0,3.0,1130,0.003,81,36.4,23.1,3.3,3.1,1.5,0.2,.447,.437,.866,9.3,.151
